Gene 1	Gene 2	Weight	Network group	Network
CYP707A3	ERF105	0.016649047	Co-expression	Kram-Carter-2009
RAP2-4	HVA22D	0.011303811	Co-expression	Kram-Carter-2009
ERF1A	RAP2-13	0.017156811	Co-expression	Kram-Carter-2009
ERF6	ERF105	0.012299265	Co-expression	Kram-Carter-2009
ERF6	CYP707A3	0.013045389	Co-expression	Kram-Carter-2009
ERF6	ERF1A	0.020639777	Co-expression	Schmid-Lohmann-2003 B
RAP2-13	DREB2D	0.00933688	Co-expression	Bassel-Cutler-2008-Dormant Seed Expression
ERF12	RAP2-13	0.011675581	Co-expression	Bassel-Cutler-2008-Dormant Seed Expression
ERF6	ERF105	0.008309167	Co-expression	Bassel-Cutler-2008-Dormant Seed Expression
ERF6	CYP707A3	0.0066441684	Co-expression	Bassel-Cutler-2008-Dormant Seed Expression
anac032	HVA22D	0.0077887517	Co-expression	Nozue-Maloof-2011
HVA22D	HDG1	0.010782971	Co-expression	Bassel-Cutler-2008-Germinating Seed Expression
anac032	DREB2D	0.009180198	Co-expression	Bassel-Cutler-2008-Germinating Seed Expression
RAP2-4	ANL2	0.022838794	Co-expression	Bassel-Cutler-2008-Germinating Seed Expression
ERF12	AGL67	0.008163351	Co-expression	Bassel-Cutler-2008-Germinating Seed Expression
ERF6	RAP2-13	0.0110872695	Co-expression	Bassel-Cutler-2008-Germinating Seed Expression
HDG1	ANL2	0.017138164	Co-expression	Dinneny-Benfey-2008 D
ERF096	DREB2D	0.016330164	Co-expression	Dinneny-Benfey-2008 D
ERF12	anac032	0.0067018503	Co-expression	Dinneny-Benfey-2008 D
ERF6	RAP2-13	0.0055090655	Co-expression	Dinneny-Benfey-2008 D
ERF6	CYP707A3	0.0054584835	Co-expression	Dinneny-Benfey-2008 D
ERF6	ERF1A	0.0046813064	Co-expression	Dinneny-Benfey-2008 D
RAP2-13	DREB2D	0.0111798	Co-expression	Goda-Shimada-2008 B
ERF105	DREB2D	0.008494353	Co-expression	Goda-Shimada-2008 B
ERF105	RAP2-13	0.009239835	Co-expression	Goda-Shimada-2008 B
AHL29	HDG1	0.015778918	Co-expression	Goda-Shimada-2008 B
CYP707A3	RAP2-13	0.009230436	Co-expression	Goda-Shimada-2008 B
CYP707A3	ERF105	0.0071771727	Co-expression	Goda-Shimada-2008 B
SSRP1	BPM3	0.006058638	Co-expression	Goda-Shimada-2008 B
ERF6	ERF105	0.008030319	Co-expression	Goda-Shimada-2008 B
RAP2-4	RAP2-13	0.0126181785	Co-expression	Queval-Noctor-2012
ERF022	DREB2D	0.012399007	Co-expression	Queval-Noctor-2012
ERF6	ERF105	0.015935518	Co-expression	Queval-Noctor-2012
AGL67	DREB2D	0.004730213	Co-expression	Zuber-Gallardo-2010 A
ERF1A	ERF105	0.010347637	Co-expression	Zuber-Gallardo-2010 A
ERF12	AGL67	0.0071904575	Co-expression	Pandey-Albert-2010
ERF1A	ERF105	0.013483532	Co-expression	Pandey-Albert-2010
ERF6	ERF1A	0.013800353	Co-expression	Pandey-Albert-2010
